pkg,windows-latest,macos-latest,ubuntu-latest,ubuntu-24.04-arm,check-latest-on
android-sdk-platform-tools,true,false,false,false,windows-latest
aria2,true,false,false,false,windows-latest
audacity,true,false,false,false,windows-latest
bitcomet,true,false,false,false,windows-latest
blender,true,false,false,false,windows-latest
blender-benchmark,true,false,false,false,windows-latest
calibre,true,false,false,false,windows-latest
cargo-binutils,true,true,true,true,ubuntu-latest
cargo-bloat,true,true,true,false,ubuntu-latest
cargo-espflash,true,true,true,false,ubuntu-latest
cargo-llvm-lines,true,true,true,false,ubuntu-latest
cargo-unused-features,true,true,true,false,ubuntu-latest
cloudflared,true,false,true,true,ubuntu-latest
cpu-z,true,false,false,false,windows-latest
dism-plus-plus,true,false,false,false,windows-latest
dufs,true,true,true,true,ubuntu-latest
edit,true,false,true,true,ubuntu-latest
esp-generate,true,true,true,false,ubuntu-latest
espflash,true,true,true,false,ubuntu-latest
filezilla,true,false,false,false,windows-latest
furmark,true,false,false,false,windows-latest
hwinfo,true,false,false,false,windows-latest
imagemagick,true,false,false,false,windows-latest
jq,true,false,false,false,windows-latest
libraw,true,true,true,false,ubuntu-latest
librepcb,true,false,false,false,windows-latest
nuget,true,false,false,false,windows-latest
obs-studio,true,false,false,false,windows-latest
openimageio,true,false,false,false,windows-latest
peazip,true,false,false,false,windows-latest
proj,true,true,true,true,ubuntu-latest
pureref,true,false,false,false,windows-latest
rufus,true,false,false,false,windows-latest
slumber,true,false,true,false,ubuntu-latest
sony-camera-remote-sdk,true,true,true,false,ubuntu-latest
spek,true,false,false,false,windows-latest
termscp,true,false,false,false,windows-latest
ttyd,true,false,true,true,ubuntu-latest
upx,true,false,false,false,windows-latest
zyperwin,true,false,false,false,windows-latest
